variant,n_cases,all_lp_certified,max_abs_lp_delta,max_mip_delta,mean_total_seconds,mean_pricing_seconds,mean_lp_seconds,mean_certification_seconds,mean_labels,mean_iterations,mean_columns,mean_solve_at_90pct,mean_solve_at_99pct,mean_certification_improvement_share,mean_meaningful_y_shift_share,mean_effective_support_jaccard
baseline,4,true,0.0,0.0,9.529488265514374,6.356898486614227,0.38971829414367676,0.13703709840774536,564367.0,23.5,705.75,9.5,17.75,0.0,0.4751984126984127,1.0
c4o1,4,true,7.275957614183426e-12,7.275957614183426e-12,10.178484976291656,5.041412889957428,0.4683501124382019,1.6552590131759644,393098.75,51.0,607.25,10.25,47.75,0.04568400753074915,0.4017857142857143,1.0
c6o1,4,true,7.275957614183426e-12,7.275957614183426e-12,8.48773205280304,4.609844982624054,0.41704124212265015,0.7028664350509644,249772.75,46.5,671.5,9.0,30.0,0.01779654479454602,0.44047619047619047,1.0
c6o2,4,true,7.275957614183426e-12,28.19007065558253,8.395612716674805,4.80828857421875,0.41988980770111084,0.43726712465286255,176262.25,28.5,648.0,9.0,27.25,0.006588022782429212,0.5595238095238095,0.9083333333333333
